N°        Compile         Mode  Dimension  Test_Mode  Samples    N Procs    Scaling    Time(s)        
185        MPISG           2     32         1          25         0          1          0.000025033951 
186        MPISG           2     32         1          25         0          1          0.000024080276 
187        MPISG           2     32         1          25         0          1          0.000024080276 
188        MPISG           2     32         1          25         0          1          0.000023841858 
189        MPISG           2     32         1          25         0          1          0.000026226044 
190        MPISG           2     32         1          25         0          1          0.000039339066 
191        MPISG           2     32         1          25         0          1          0.000024080276 
192        MPISG           2     32         1          25         0          1          0.000024318695 
193        MPISG           2     32         1          25         0          1          0.000027418137 
194        MPISG           2     32         1          25         0          1          0.000024318695 
195        MPISG           2     32         1          25         0          1          0.000024318695 
196        MPISG           2     32         1          25         0          1          0.000025033951 
197        MPISG           2     32         1          25         0          1          0.000025272369 
198        MPISG           2     32         1          25         0          1          0.000024318695 
199        MPISG           2     32         1          25         0          1          0.000025749207 
200        MPISG           2     32         1          25         0          1          0.000025033951 
201        MPISG           2     32         1          25         0          2          0.000261306763 
202        MPISG           2     32         1          25         0          2          0.000118494034 
203        MPISG           2     32         1          25         0          2          0.000050306320 
204        MPISG           2     32         1          25         0          2          0.000049114227 
205        MPISG           2     32         1          25         0          2          0.000052928925 
206        MPISG           2     32         1          25         0          2          0.000055313110 
207        MPISG           2     32         1          25         0          2          0.000050306320 
208        MPISG           2     32         1          25         0          2          0.000052213669 
209        MPISG           2     32         1          25         0          2          0.000049114227 
210        MPISG           2     32         1          25         0          2          0.000048398972 
211        MPISG           2     32         1          25         0          2          0.000048398972 
212        MPISG           2     32         1          25         0          2          0.000051975250 
213        MPISG           2     32         1          25         0          2          0.000049114227 
214        MPISG           2     32         1          25         0          2          0.000048875809 
215        MPISG           2     32         1          25         0          2          0.000049114227 
216        MPISG           2     32         1          25         0          2          0.000067710876 
217        MPISG           2     32         1          25         0          2          0.000048875809 
218        MPISG           2     32         1          25         0          2          0.000048637390 
219        MPISG           2     32         1          25         0          2          0.000051259995 
220        MPISG           2     32         1          25         0          2          0.000048637390 
221        MPISG           2     32         1          25         0          2          0.000048875809 
222        MPISG           2     32         1          25         0          2          0.000048160553 
223        MPISG           2     32         1          25         0          2          0.000051259995 
224        MPISG           2     32         1          25         0          2          0.000048160553 
225        MPISG           2     32         1          25         0          2          0.000048160553 
226        MPISG           2     32         1          25         0          4          0.000471830368 
227        MPISG           2     32         1          25         0          4          0.001924753189 
228        MPISG           2     32         1          25         0          4          0.000206708908 
229        MPISG           2     32         1          25         0          4          0.000144243240 
230        MPISG           2     32         1          25         0          4          0.000133991241 
231        MPISG           2     32         1          25         0          4          0.000131130219 
232        MPISG           2     32         1          25         0          4          0.000138521194 
233        MPISG           2     32         1          25         0          4          0.000134944916 
234        MPISG           2     32         1          25         0          4          0.000138521194 
235        MPISG           2     32         1          25         0          4          0.000137567520 
236        MPISG           2     32         1          25         0          4          0.000139236450 
237        MPISG           2     32         1          25         0          4          0.000135183334 
238        MPISG           2     32         1          25         0          4          0.000138759613 
239        MPISG           2     32         1          25         0          4          0.000143527985 
240        MPISG           2     32         1          25         0          4          0.000141382217 
241        MPISG           2     32         1          25         0          4          0.000138759613 
242        MPISG           2     32         1          25         0          4          0.000134229660 
243        MPISG           2     32         1          25         0          4          0.000152587891 
244        MPISG           2     32         1          25         0          4          0.000143289566 
245        MPISG           2     32         1          25         0          4          0.000163078308 
246        MPISG           2     32         1          25         0          4          0.000139951706 
247        MPISG           2     32         1          25         0          4          0.000139474869 
248        MPISG           2     32         1          25         0          4          0.000143527985 
249        MPISG           2     32         1          25         0          4          0.000137805939 
250        MPISG           2     32         1          25         0          4          0.000137805939 
251        MPISG           2     32         1          25         0          8          0.001630067825 
252        MPISG           2     32         1          25         0          8          0.001278400421 
